id_usuario_x_identificador;fecha_alta;id_identificador;id_usuario;id_usuario_alta
2511254;2025-06-04 16:26:50,000;1225317;39930;39932
2511255;2025-06-04 16:26:50,000;1225318;39930;39932
2511256;2025-06-04 16:26:50,000;1225319;39930;39932
2511257;2025-06-04 16:26:50,000;1225320;39930;39932
2511258;2025-06-04 16:26:50,000;1225321;39930;39932
2511259;2025-06-04 16:26:50,000;1225322;39930;39932
2511260;2025-06-04 16:26:50,000;1225323;39930;39932
2511261;2025-06-04 16:26:50,000;1225324;39930;39932
2511262;2025-06-04 16:26:50,000;1225325;39930;39932
2511263;2025-06-04 16:26:50,000;1225326;39930;39932
2511264;2025-06-04 16:26:50,000;1225327;39930;39932
2511265;2025-06-04 16:26:50,000;1225328;39930;39932
2511266;2025-06-04 16:26:50,000;1225329;39930;39932
2511267;2025-06-04 16:26:50,000;1225330;39930;39932
2511268;2025-06-04 16:26:50,000;1225331;39930;39932
2511269;2025-06-04 16:26:50,000;1225332;39930;39932
2511270;2025-06-04 16:26:50,000;1225333;39930;39932
2511271;2025-06-04 16:26:50,000;1225334;39930;39932
2511272;2025-06-04 16:26:50,000;1225335;39930;39932
2511273;2025-06-04 16:26:50,000;1225336;39930;39932
2511274;2025-06-04 16:26:50,000;1225337;39930;39932
2511275;2025-06-04 16:26:50,000;1225338;39930;39932
2511276;2025-06-04 16:26:50,000;1225339;39930;39932
2511277;2025-06-04 16:26:50,000;1225340;39930;39932
2511278;2025-06-04 16:26:50,000;1225341;39930;39932
