Date;Año;NroMes;Mes;NroTrimestre;Trimestre;Día
1900-10-10 00:00:00,000;1900;10;"octubre";4;"Trim. 4";10
1900-10-11 00:00:00,000;1900;10;"octubre";4;"Trim. 4";11
1900-10-12 00:00:00,000;1900;10;"octubre";4;"Trim. 4";12
1900-10-13 00:00:00,000;1900;10;"octubre";4;"Trim. 4";13
1900-10-14 00:00:00,000;1900;10;"octubre";4;"Trim. 4";14
1900-10-15 00:00:00,000;1900;10;"octubre";4;"Trim. 4";15
1900-10-16 00:00:00,000;1900;10;"octubre";4;"Trim. 4";16
1900-10-17 00:00:00,000;1900;10;"octubre";4;"Trim. 4";17
1900-10-18 00:00:00,000;1900;10;"octubre";4;"Trim. 4";18
1900-10-19 00:00:00,000;1900;10;"octubre";4;"Trim. 4";19
1900-10-20 00:00:00,000;1900;10;"octubre";4;"Trim. 4";20
1900-10-21 00:00:00,000;1900;10;"octubre";4;"Trim. 4";21
1900-10-22 00:00:00,000;1900;10;"octubre";4;"Trim. 4";22
1900-10-23 00:00:00,000;1900;10;"octubre";4;"Trim. 4";23
1900-10-24 00:00:00,000;1900;10;"octubre";4;"Trim. 4";24
1900-10-25 00:00:00,000;1900;10;"octubre";4;"Trim. 4";25
1900-10-26 00:00:00,000;1900;10;"octubre";4;"Trim. 4";26
1900-10-27 00:00:00,000;1900;10;"octubre";4;"Trim. 4";27
1900-10-28 00:00:00,000;1900;10;"octubre";4;"Trim. 4";28
1900-10-29 00:00:00,000;1900;10;"octubre";4;"Trim. 4";29
1900-10-30 00:00:00,000;1900;10;"octubre";4;"Trim. 4";30
1900-10-31 00:00:00,000;1900;10;"octubre";4;"Trim. 4";31
1900-11-01 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";1
1900-11-02 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";2
1900-11-03 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";3
1900-11-04 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";4
1900-11-05 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";5
1900-11-06 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";6
1900-11-07 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";7
1900-11-08 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";8
1900-11-09 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";9
1900-11-10 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";10
1900-11-11 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";11
1900-11-12 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";12
1900-11-13 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";13
1900-11-14 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";14
1900-11-15 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";15
1900-11-16 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";16
1900-11-17 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";17
1900-11-18 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";18
1900-11-19 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";19
1900-11-20 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";20
1900-11-21 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";21
1900-11-22 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";22
1900-11-23 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";23
1900-11-24 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";24
1900-11-25 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";25
1900-11-26 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";26
1900-11-27 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";27
1900-11-28 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";28
1900-11-29 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";29
1900-11-30 00:00:00,000;1900;11;"noviembre";4;"Trim. 4";30
1900-12-01 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";1
1900-12-02 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";2
1900-12-03 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";3
1900-12-04 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";4
1900-12-05 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";5
1900-12-06 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";6
1900-12-07 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";7
1900-12-08 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";8
1900-12-09 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";9
1900-12-10 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";10
1900-12-11 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";11
1900-12-12 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";12
1900-12-13 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";13
1900-12-14 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";14
1900-12-15 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";15
1900-12-16 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";16
1900-12-17 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";17
1900-12-18 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";18
1900-12-19 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";19
1900-12-20 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";20
1900-12-21 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";21
1900-12-22 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";22
1900-12-23 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";23
1900-12-24 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";24
1900-12-25 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";25
1900-12-26 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";26
1900-12-27 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";27
1900-12-28 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";28
1900-12-29 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";29
1900-12-30 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";30
1900-12-31 00:00:00,000;1900;12;"diciembre";4;"Trim. 4";31
